MinCut number | Number of graphs
            4 |               0
            5 |               0
            6 |               2
            7 |              88
            8 |             375
            9 |             317
           10 |             152
           11 |              58
           12 |               8
           13 |               0
           14 |               0
           15 |               0
           16 |               0
           17 |               0
           18 |               0
           19 |               0
           20 |               0
