MinCut number | Number of graphs
            4 |               0
            5 |               0
            6 |               0
            7 |               0
            8 |              75
            9 |             236
           10 |             290
           11 |             232
           12 |             108
           13 |              38
           14 |              21
           15 |               0
           16 |               0
           17 |               0
           18 |               0
           19 |               0
           20 |               0
