MinCut number | Number of graphs
            9 |               0
           10 |               0
           11 |               0
           12 |               0
           13 |               0
           14 |               0
           15 |               0
           16 |               0
           17 |               0
           18 |              48
           19 |             746
           20 |            5417
           21 |           19331
           22 |           44314
           23 |           74339
           24 |           99749
           25 |          114056
           26 |          115242
           27 |          107626
           28 |           93899
           29 |           77867
           30 |           63710
           31 |           49086
           32 |           37853
           33 |           28262
           34 |           20740
           35 |           14888
           36 |           10788
           37 |            7234
           38 |            5186
           39 |            3357
           40 |            2307
           41 |            1424
           42 |            1002
           43 |             603
           44 |             397
           45 |             233
           46 |             125
           47 |              79
           48 |              52
           49 |              17
           50 |               7
           51 |               6
           52 |               6
           53 |               1
           54 |               3
           55 |               0
           56 |               0
           57 |               0
           58 |               0
           59 |               0
           60 |               0
           61 |               0
           62 |               0
           63 |               0
           64 |               0
           65 |               0
           66 |               0
           67 |               0
           68 |               0
           69 |               0
           70 |               0
           71 |               0
           72 |               0
           73 |               0
           74 |               0
           75 |               0
           76 |               0
           77 |               0
           78 |               0
           79 |               0
           80 |               0
           81 |               0
           82 |               0
           83 |               0
           84 |               0
           85 |               0
           86 |               0
           87 |               0
           88 |               0
           89 |               0
           90 |               0
