MinCut number | Number of graphs
            6 |               0
            7 |               0
            8 |               0
            9 |               0
           10 |               0
           11 |               0
           12 |               1
           13 |               7
           14 |              11
           15 |              29
           16 |              27
           17 |              24
           18 |              16
           19 |              17
           20 |               9
           21 |               5
           22 |               3
           23 |               0
           24 |               1
           25 |               0
           26 |               0
           27 |               0
           28 |               0
           29 |               0
           30 |               0
           31 |               0
           32 |               0
           33 |               0
           34 |               0
           35 |               0
           36 |               0
           37 |               0
           38 |               0
           39 |               0
           40 |               0
           41 |               0
           42 |               0
