graph20_50_141.txt: 
Min Cuts: 40 
S Size | Number of Cuts
     1 |            15
     2 |             3
     3 |             0
     4 |             1
     5 |             0
     6 |             0
     7 |             0
     8 |             0
     9 |             0
    10 |             0
    11 |             0
    12 |             0
    13 |             0
    14 |             1
    15 |             0
    16 |             0
    17 |             1
    18 |             4
    19 |            15

graph20_50_533.txt: 
Min Cuts: 40 
S Size | Number of Cuts
     1 |            13
     2 |             5
     3 |             2
     4 |             0
     5 |             0
     6 |             0
     7 |             0
     8 |             0
     9 |             0
    10 |             0
    11 |             0
    12 |             0
    13 |             0
    14 |             0
    15 |             0
    16 |             0
    17 |             1
    18 |             4
    19 |            15

graph20_50_913.txt: 
Min Cuts: 41 
S Size | Number of Cuts
     1 |            18
     2 |             2
     3 |             0
     4 |             1
     5 |             0
     6 |             0
     7 |             0
     8 |             0
     9 |             0
    10 |             0
    11 |             0
    12 |             0
    13 |             0
    14 |             0
    15 |             0
    16 |             1
    17 |             1
    18 |             6
    19 |            12

graph20_50_94.txt: 
Min Cuts: 41 
S Size | Number of Cuts
     1 |            18
     2 |             3
     3 |             1
     4 |             0
     5 |             0
     6 |             0
     7 |             0
     8 |             0
     9 |             0
    10 |             0
    11 |             0
    12 |             0
    13 |             0
    14 |             0
    15 |             0
    16 |             0
    17 |             1
    18 |             4
    19 |            14

graph20_50_623.txt: 
Min Cuts: 41 
S Size | Number of Cuts
     1 |            16
     2 |             4
     3 |             0
     4 |             1
     5 |             1
     6 |             0
     7 |             0
     8 |             0
     9 |             0
    10 |             0
    11 |             0
    12 |             0
    13 |             0
    14 |             0
    15 |             0
    16 |             1
    17 |             1
    18 |             6
    19 |            11

graph20_50_526.txt: 
Min Cuts: 41 
S Size | Number of Cuts
     1 |            15
     2 |             5
     3 |             3
     4 |             0
     5 |             0
     6 |             0
     7 |             0
     8 |             0
     9 |             0
    10 |             0
    11 |             0
    12 |             0
    13 |             0
    14 |             0
    15 |             0
    16 |             1
    17 |             1
    18 |             2
    19 |            14

graph20_50_581.txt: 
Min Cuts: 42 
S Size | Number of Cuts
     1 |            15
     2 |             3
     3 |             0
     4 |             0
     5 |             0
     6 |             0
     7 |             0
     8 |             0
     9 |             0
    10 |             0
    11 |             0
    12 |             0
    13 |             1
    14 |             0
    15 |             1
    16 |             0
    17 |             2
    18 |             6
    19 |            14

graph20_50_426.txt: 
Min Cuts: 42 
S Size | Number of Cuts
     1 |            15
     2 |             3
     3 |             0
     4 |             1
     5 |             0
     6 |             0
     7 |             0
     8 |             0
     9 |             0
    10 |             0
    11 |             0
    12 |             0
    13 |             0
    14 |             0
    15 |             0
    16 |             2
    17 |             1
    18 |             2
    19 |            18

graph20_50_33.txt: 
Min Cuts: 43 
S Size | Number of Cuts
     1 |            16
     2 |             3
     3 |             1
     4 |             1
     5 |             1
     6 |             0
     7 |             1
     8 |             0
     9 |             0
    10 |             0
    11 |             0
    12 |             0
    13 |             0
    14 |             0
    15 |             1
    16 |             0
    17 |             0
    18 |             6
    19 |            13

