graph20_25_607.txt: 
Min Cuts: 45 
S Size | Number of Cuts
     1 |            18
     2 |             5
     3 |             2
     4 |             2
     5 |             1
     6 |             0
     7 |             1
     8 |             1
     9 |             1
    10 |             1
    11 |             1
    12 |             1
    13 |             2
    14 |             1
    15 |             2
    16 |             0
    17 |             1
    18 |             1
    19 |             4

graph20_25_82.txt: 
Min Cuts: 47 
S Size | Number of Cuts
     1 |            18
     2 |             6
     3 |             3
     4 |             2
     5 |             2
     6 |             3
     7 |             1
     8 |             1
     9 |             0
    10 |             0
    11 |             1
    12 |             0
    13 |             0
    14 |             2
    15 |             1
    16 |             0
    17 |             2
    18 |             1
    19 |             4

graph20_25_767.txt: 
Min Cuts: 47 
S Size | Number of Cuts
     1 |            17
     2 |             6
     3 |             3
     4 |             1
     5 |             1
     6 |             1
     7 |             1
     8 |             1
     9 |             1
    10 |             1
    11 |             1
    12 |             1
    13 |             1
    14 |             3
    15 |             1
    16 |             2
    17 |             1
    18 |             2
    19 |             2

graph20_25_377.txt: 
Min Cuts: 48 
S Size | Number of Cuts
     1 |            17
     2 |             9
     3 |             4
     4 |             1
     5 |             1
     6 |             1
     7 |             1
     8 |             1
     9 |             1
    10 |             0
    11 |             1
    12 |             1
    13 |             1
    14 |             1
    15 |             1
    16 |             1
    17 |             1
    18 |             2
    19 |             3

graph20_25_373.txt: 
Min Cuts: 48 
S Size | Number of Cuts
     1 |            17
     2 |             6
     3 |             3
     4 |             1
     5 |             1
     6 |             1
     7 |             1
     8 |             1
     9 |             2
    10 |             1
    11 |             0
    12 |             0
    13 |             1
    14 |             3
    15 |             2
    16 |             2
    17 |             1
    18 |             2
    19 |             3

graph20_25_489.txt: 
Min Cuts: 48 
S Size | Number of Cuts
     1 |            18
     2 |             8
     3 |             4
     4 |             1
     5 |             1
     6 |             1
     7 |             1
     8 |             1
     9 |             1
    10 |             1
    11 |             1
    12 |             1
    13 |             1
    14 |             1
    15 |             1
    16 |             2
    17 |             1
    18 |             0
    19 |             3

graph20_25_539.txt: 
Min Cuts: 48 
S Size | Number of Cuts
     1 |            18
     2 |             7
     3 |             3
     4 |             1
     5 |             1
     6 |             1
     7 |             1
     8 |             0
     9 |             0
    10 |             0
    11 |             1
    12 |             2
    13 |             1
    14 |             1
    15 |             1
    16 |             2
    17 |             3
    18 |             2
    19 |             3

graph20_25_895.txt: 
Min Cuts: 48 
S Size | Number of Cuts
     1 |            17
     2 |             6
     3 |             3
     4 |             3
     5 |             1
     6 |             0
     7 |             1
     8 |             0
     9 |             1
    10 |             1
    11 |             1
    12 |             1
    13 |             2
    14 |             1
    15 |             0
    16 |             2
    17 |             1
    18 |             3
    19 |             4

graph20_25_959.txt: 
Min Cuts: 48 
S Size | Number of Cuts
     1 |            18
     2 |             7
     3 |             2
     4 |             2
     5 |             1
     6 |             1
     7 |             2
     8 |             1
     9 |             2
    10 |             0
    11 |             2
    12 |             0
    13 |             0
    14 |             0
    15 |             0
    16 |             0
    17 |             2
    18 |             2
    19 |             6

graph20_25_229.txt: 
Min Cuts: 48 
S Size | Number of Cuts
     1 |            17
     2 |             5
     3 |             3
     4 |             2
     5 |             2
     6 |             2
     7 |             0
     8 |             0
     9 |             0
    10 |             0
    11 |             0
    12 |             1
    13 |             1
    14 |             1
    15 |             2
    16 |             2
    17 |             2
    18 |             3
    19 |             5

graph20_25_62.txt: 
Min Cuts: 48 
S Size | Number of Cuts
     1 |            16
     2 |             4
     3 |             5
     4 |             4
     5 |             1
     6 |             1
     7 |             1
     8 |             2
     9 |             3
    10 |             3
    11 |             1
    12 |             0
    13 |             0
    14 |             0
    15 |             1
    16 |             0
    17 |             0
    18 |             2
    19 |             4

graph20_25_172.txt: 
Min Cuts: 49 
S Size | Number of Cuts
     1 |            16
     2 |             6
     3 |             2
     4 |             3
     5 |             3
     6 |             1
     7 |             2
     8 |             0
     9 |             0
    10 |             1
    11 |             1
    12 |             1
    13 |             1
    14 |             1
    15 |             1
    16 |             3
    17 |             2
    18 |             2
    19 |             3

graph20_25_248.txt: 
Min Cuts: 49 
S Size | Number of Cuts
     1 |            16
     2 |             5
     3 |             4
     4 |             2
     5 |             1
     6 |             1
     7 |             1
     8 |             1
     9 |             1
    10 |             1
    11 |             1
    12 |             0
    13 |             1
    14 |             1
    15 |             2
    16 |             2
    17 |             3
    18 |             2
    19 |             4

graph20_25_784.txt: 
Min Cuts: 49 
S Size | Number of Cuts
     1 |            17
     2 |             4
     3 |             4
     4 |             2
     5 |             2
     6 |             1
     7 |             1
     8 |             2
     9 |             2
    10 |             2
    11 |             2
    12 |             1
    13 |             1
    14 |             0
    15 |             0
    16 |             1
    17 |             1
    18 |             2
    19 |             4

graph20_25_720.txt: 
Min Cuts: 49 
S Size | Number of Cuts
     1 |            17
     2 |             7
     3 |             3
     4 |             1
     5 |             1
     6 |             1
     7 |             2
     8 |             0
     9 |             0
    10 |             2
    11 |             1
    12 |             1
    13 |             2
    14 |             1
    15 |             1
    16 |             2
    17 |             0
    18 |             2
    19 |             5

graph20_25_98.txt: 
Min Cuts: 49 
S Size | Number of Cuts
     1 |            17
     2 |             5
     3 |             5
     4 |             1
     5 |             2
     6 |             1
     7 |             1
     8 |             1
     9 |             0
    10 |             1
    11 |             0
    12 |             0
    13 |             1
    14 |             2
    15 |             3
    16 |             1
    17 |             3
    18 |             1
    19 |             4

graph20_25_271.txt: 
Min Cuts: 49 
S Size | Number of Cuts
     1 |            17
     2 |             7
     3 |             3
     4 |             2
     5 |             1
     6 |             1
     7 |             1
     8 |             1
     9 |             0
    10 |             0
    11 |             1
    12 |             1
    13 |             1
    14 |             1
    15 |             1
    16 |             2
    17 |             2
    18 |             2
    19 |             5

graph20_25_302.txt: 
Min Cuts: 49 
S Size | Number of Cuts
     1 |            16
     2 |             5
     3 |             5
     4 |             4
     5 |             3
     6 |             2
     7 |             1
     8 |             0
     9 |             1
    10 |             1
    11 |             1
    12 |             1
    13 |             1
    14 |             1
    15 |             1
    16 |             1
    17 |             1
    18 |             1
    19 |             3

graph20_25_798.txt: 
Min Cuts: 50 
S Size | Number of Cuts
     1 |            17
     2 |             7
     3 |             4
     4 |             2
     5 |             1
     6 |             1
     7 |             2
     8 |             2
     9 |             1
    10 |             0
    11 |             0
    12 |             1
    13 |             0
    14 |             1
    15 |             2
    16 |             2
    17 |             2
    18 |             2
    19 |             3

graph20_25_457.txt: 
Min Cuts: 50 
S Size | Number of Cuts
     1 |            16
     2 |             6
     3 |             4
     4 |             5
     5 |             2
     6 |             2
     7 |             1
     8 |             0
     9 |             1
    10 |             1
    11 |             1
    12 |             1
    13 |             1
    14 |             1
    15 |             1
    16 |             1
    17 |             1
    18 |             2
    19 |             3

graph20_25_103.txt: 
Min Cuts: 50 
S Size | Number of Cuts
     1 |            17
     2 |             6
     3 |             3
     4 |             2
     5 |             3
     6 |             1
     7 |             0
     8 |             0
     9 |             1
    10 |             0
    11 |             0
    12 |             0
    13 |             2
    14 |             2
    15 |             1
    16 |             1
    17 |             2
    18 |             4
    19 |             5

graph20_25_171.txt: 
Min Cuts: 50 
S Size | Number of Cuts
     1 |            16
     2 |             8
     3 |             4
     4 |             2
     5 |             1
     6 |             1
     7 |             0
     8 |             1
     9 |             1
    10 |             1
    11 |             1
    12 |             0
    13 |             0
    14 |             2
    15 |             2
    16 |             2
    17 |             2
    18 |             2
    19 |             4

