graph20_50_710.txt: 
Min Cuts: 31 
R Size | Number of Cuts
     1 |             6
     2 |             2
     3 |             0
     4 |             0
     5 |             1
     6 |             1
     7 |             0
     8 |             0
     9 |             1
    10 |             0
    11 |             0
    12 |             0
    13 |             0
    14 |             1
    15 |             0
    16 |             3
    17 |             0
    18 |             1
    19 |             0

graph20_50_670.txt: 
Min Cuts: 37 
R Size | Number of Cuts
     1 |             5
     2 |             1
     3 |             2
     4 |             3
     5 |             0
     6 |             0
     7 |             1
     8 |             0
     9 |             0
    10 |             0
    11 |             0
    12 |             0
    13 |             0
    14 |             0
    15 |             0
    16 |             0
    17 |             7
    18 |             6
    19 |             0

graph20_50_37.txt: 
Min Cuts: 39 
R Size | Number of Cuts
     1 |             3
     2 |             3
     3 |             1
     4 |             1
     5 |             0
     6 |             1
     7 |             0
     8 |             0
     9 |             0
    10 |             0
    11 |             0
    12 |             0
    13 |             0
    14 |             0
    15 |             0
    16 |             1
    17 |             7
    18 |             9
    19 |             0

graph20_50_603.txt: 
Min Cuts: 39 
R Size | Number of Cuts
     1 |             6
     2 |             3
     3 |             2
     4 |             1
     5 |             2
     6 |             0
     7 |             0
     8 |             0
     9 |             0
    10 |             0
    11 |             0
    12 |             0
    13 |             2
    14 |             0
    15 |             0
    16 |             1
    17 |             1
    18 |            10
    19 |             0

graph20_50_32.txt: 
Min Cuts: 40 
R Size | Number of Cuts
     1 |             3
     2 |             2
     3 |             1
     4 |             1
     5 |             2
     6 |             1
     7 |             0
     8 |             0
     9 |             0
    10 |             0
    11 |             0
    12 |             0
    13 |             0
    14 |             2
    15 |             4
    16 |             3
    17 |             5
    18 |             7
    19 |             0

graph20_50_4.txt: 
Min Cuts: 40 
R Size | Number of Cuts
     1 |             6
     2 |             4
     3 |             1
     4 |             0
     5 |             0
     6 |             0
     7 |             0
     8 |             0
     9 |             1
    10 |             0
    11 |             0
    12 |             0
    13 |             1
    14 |             0
    15 |             4
    16 |             4
    17 |             1
    18 |             6
    19 |             0

graph20_50_888.txt: 
Min Cuts: 40 
R Size | Number of Cuts
     1 |             6
     2 |             1
     3 |             1
     4 |             2
     5 |             1
     6 |             0
     7 |             0
     8 |             0
     9 |             0
    10 |             0
    11 |             0
    12 |             0
    13 |             0
    14 |             0
    15 |             2
    16 |             5
    17 |             1
    18 |             8
    19 |             0

graph20_50_94.txt: 
Min Cuts: 41 
R Size | Number of Cuts
     1 |             3
     2 |             1
     3 |             0
     4 |             0
     5 |             0
     6 |             0
     7 |             0
     8 |             0
     9 |             0
    10 |             0
    11 |             0
    12 |             0
    13 |             0
    14 |             0
    15 |             1
    16 |             2
    17 |             5
    18 |            15
    19 |             0

graph20_50_562.txt: 
Min Cuts: 41 
R Size | Number of Cuts
     1 |             3
     2 |             2
     3 |             2
     4 |             3
     5 |             2
     6 |             2
     7 |             1
     8 |             1
     9 |             3
    10 |             1
    11 |             1
    12 |             0
    13 |             0
    14 |             0
    15 |             1
    16 |             0
    17 |             2
    18 |             9
    19 |             0

graph20_50_288.txt: 
Min Cuts: 41 
R Size | Number of Cuts
     1 |             3
     2 |             3
     3 |             4
     4 |             5
     5 |             2
     6 |             2
     7 |             0
     8 |             0
     9 |             1
    10 |             2
    11 |             1
    12 |             1
    13 |             0
    14 |             0
    15 |             2
    16 |             0
    17 |             0
    18 |             6
    19 |             0

graph20_50_883.txt: 
Min Cuts: 43 
R Size | Number of Cuts
     1 |             7
     2 |             0
     3 |             2
     4 |             0
     5 |             1
     6 |             0
     7 |             0
     8 |             0
     9 |             0
    10 |             1
    11 |             1
    12 |             1
    13 |             1
    14 |             0
    15 |             1
    16 |             0
    17 |             5
    18 |             9
    19 |             0

graph20_50_845.txt: 
Min Cuts: 43 
R Size | Number of Cuts
     1 |             3
     2 |             2
     3 |             1
     4 |             0
     5 |             1
     6 |             0
