graph20_60_882.txt: 
Min Cuts: 33 
S Size | Number of Cuts
     1 |            14
     2 |             0
     3 |             0
     4 |             1
     5 |             0
     6 |             0
     7 |             0
     8 |             0
     9 |             0
    10 |             0
    11 |             0
    12 |             0
    13 |             0
    14 |             0
    15 |             0
    16 |             0
    17 |             3
    18 |             5
    19 |            10

graph20_60_48.txt: 
Min Cuts: 34 
S Size | Number of Cuts
     1 |            14
     2 |             1
     3 |             0
     4 |             1
     5 |             0
     6 |             0
     7 |             0
     8 |             0
     9 |             0
    10 |             0
    11 |             1
    12 |             0
    13 |             0
    14 |             1
    15 |             0
    16 |             1
    17 |             3
    18 |             2
    19 |            10

graph20_60_241.txt: 
Min Cuts: 38 
S Size | Number of Cuts
     1 |            25
     2 |             0
     3 |             0
     4 |             0
     5 |             0
     6 |             0
     7 |             0
     8 |             0
     9 |             0
    10 |             0
    11 |             0
    12 |             0
    13 |             0
    14 |             0
    15 |             0
    16 |             0
    17 |             0
    18 |             3
    19 |            10

graph20_60_431.txt: 
Min Cuts: 38 
S Size | Number of Cuts
     1 |            16
     2 |             1
     3 |             1
     4 |             0
     5 |             0
     6 |             1
     7 |             0
     8 |             0
     9 |             0
    10 |             0
    11 |             0
    12 |             0
    13 |             0
    14 |             0
    15 |             0
    16 |             1
    17 |             1
    18 |             4
    19 |            13

graph20_60_30.txt: 
Min Cuts: 38 
S Size | Number of Cuts
     1 |            19
     2 |             3
     3 |             2
     4 |             1
     5 |             0
     6 |             0
     7 |             0
     8 |             0
     9 |             0
    10 |             0
    11 |             0
    12 |             0
    13 |             0
    14 |             0
    15 |             1
    16 |             0
    17 |             1
    18 |             2
    19 |             9

graph20_60_885.txt: 
Min Cuts: 38 
S Size | Number of Cuts
     1 |            16
     2 |             8
     3 |             0
     4 |             0
     5 |             0
     6 |             0
     7 |             0
     8 |             0
     9 |             0
    10 |             0
    11 |             0
    12 |             0
    13 |             0
    14 |             0
    15 |             0
    16 |             0
    17 |             1
    18 |             5
    19 |             8

graph20_60_190.txt: 
Min Cuts: 40 
S Size | Number of Cuts
     1 |            15
     2 |             7
     3 |             0
     4 |             0
     5 |             0
     6 |             0
     7 |             0
     8 |             0
     9 |             0
    10 |             0
    11 |             0
    12 |             0
    13 |             0
    14 |             0
    15 |             0
    16 |             0
    17 |             2
    18 |             6
    19 |            10

graph20_60_696.txt: 
Min Cuts: 40 
S Size | Number of Cuts
     1 |            20
     2 |             0
     3 |             0
     4 |             0
     5 |             3
     6 |             0
     7 |             0
     8 |             0
     9 |             2
    10 |             0
    11 |             0
    12 |             0
    13 |             0
    14 |             0
    15 |             0
    16 |             0
    17 |             1
    18 |             3
    19 |            11

graph20_60_875.txt: 
Min Cuts: 41 
S Size | Number of Cuts
     1 |            18
     2 |             3
     3 |             1
     4 |             0
     5 |             0
     6 |             0
     7 |             0
     8 |             0
     9 |             2
    10 |             0
    11 |             0
    12 |             1
    13 |             2
    14 |             0
    15 |             0
    16 |             5
    17 |             4
    18 |             2
    19 |             3

graph20_60_637.txt: 
Min Cuts: 41 
S Size | Number of Cuts
     1 |            17
     2 |             0
     3 |             0
     4 |             5
     5 |             1
     6 |             1
     7 |             0
     8 |             0
     9 |             0
    10 |             0
    11 |             0
    12 |             1
    13 |             0
    14 |             1
    15 |             0
    16 |             2
    17 |             2
    18 |             3
    19 |             8

graph20_60_934.txt: 
Min Cuts: 41 
S Size | Number of Cuts
     1 |            18
     2 |             2
     3 |             0
     4 |             0
     5 |             0
     6 |             3
     7 |             0
     8 |             0
     9 |             0
    10 |             0
    11 |             0
    12 |             0
    13 |             0
    14 |             3
    15 |             1
    16 |             2
    17 |             0
    18 |             3
    19 |             9

graph20_60_209.txt: 
Min Cuts: 42 
S Size | Number of Cuts
     1 |            19
     2 |             3
     3 |             0
     4 |             0
     5 |             0
     6 |             0
     7 |             0
     8 |             0
     9 |             1
    10 |             0
    11 |             0
    12 |             0
    13 |             0
    14 |             0
    15 |             1
    16 |             2
    17 |             4
    18 |             3
    19 |             9

graph20_60_824.txt: 
Min Cuts: 42 
S Size | Number of Cuts
     1 |            21
     2 |             7
     3 |             0
