MinCut number | Number of graphs
           19 |               0
           20 |               0
           21 |               0
           22 |               0
           23 |               0
           24 |               0
           25 |               0
           26 |               0
           27 |               0
           28 |               0
           29 |               0
           30 |               0
           31 |               0
           32 |               0
           33 |               0
           34 |               0
           35 |               0
           36 |               0
           37 |               0
           38 |               0
           39 |               0
           40 |               1
           41 |               1
           42 |               0
           43 |               0
           44 |               0
           45 |               0
           46 |               1
           47 |               2
           48 |               8
           49 |               6
           50 |              12
           51 |              12
           52 |              13
           53 |               7
           54 |              14
           55 |              17
           56 |              19
           57 |              24
           58 |              18
           59 |              22
           60 |              15
           61 |              22
           62 |              29
           63 |              25
           64 |              20
           65 |              33
           66 |              35
           67 |              24
           68 |              34
           69 |              29
           70 |              33
           71 |              29
           72 |              22
           73 |              29
           74 |              31
           75 |              35
           76 |              29
           77 |              31
           78 |              20
           79 |              25
           80 |              28
           81 |              16
           82 |              20
           83 |              22
           84 |              14
           85 |              13
           86 |              19
           87 |              13
           88 |              17
           89 |              15
           90 |              14
           91 |               7
           92 |               8
           93 |              11
           94 |               9
           95 |               8
           96 |               2
           97 |               6
           98 |               5
           99 |               1
          100 |               4
          101 |               5
          102 |               1
          103 |               2
          104 |               1
          105 |               2
          106 |               2
          107 |               2
          108 |               1
          109 |               2
          110 |               0
          111 |               1
          112 |               1
          113 |               0
          114 |               0
          115 |               0
          116 |               0
          117 |               1
          118 |               0
          119 |               0
          120 |               0
          121 |               0
          122 |               0
          123 |               0
          124 |               0
          125 |               0
          126 |               0
          127 |               0
          128 |               0
          129 |               0
          130 |               0
          131 |               0
          132 |               0
          133 |               0
          134 |               0
          135 |               0
          136 |               0
          137 |               0
          138 |               0
          139 |               0
          140 |               0
          141 |               0
          142 |               0
          143 |               0
          144 |               0
          145 |               0
          146 |               0
          147 |               0
          148 |               0
          149 |               0
          150 |               0
          151 |               0
          152 |               0
          153 |               0
          154 |               0
          155 |               0
          156 |               0
          157 |               0
          158 |               0
          159 |               0
          160 |               0
          161 |               0
          162 |               0
          163 |               0
          164 |               0
          165 |               0
          166 |               0
          167 |               0
          168 |               0
          169 |               0
          170 |               0
          171 |               0
          172 |               0
          173 |               0
          174 |               0
          175 |               0
          176 |               0
          177 |               0
          178 |               0
          179 |               0
          180 |               0
          181 |               0
          182 |               0
          183 |               0
          184 |               0
          185 |               0
          186 |               0
          187 |               0
          188 |               0
          189 |               0
          190 |               0
