graph20_25_7.txt: 
Min Cuts: 40 
S Size | Number of Cuts
     1 |            14
     2 |             5
     3 |             1
     4 |             3
     5 |             3
     6 |             2
     7 |             1
     8 |             1
     9 |             1
    10 |             0
    11 |             0
    12 |             1
    13 |             0
    14 |             0
    15 |             0
    16 |             1
    17 |             3
    18 |             2
    19 |             2

graph20_25_61.txt: 
Min Cuts: 41 
S Size | Number of Cuts
     1 |            15
     2 |             7
     3 |             3
     4 |             2
     5 |             0
     6 |             2
     7 |             0
     8 |             1
     9 |             1
    10 |             1
    11 |             1
    12 |             0
    13 |             2
    14 |             1
    15 |             0
    16 |             1
    17 |             0
    18 |             2
    19 |             2

graph20_25_243.txt: 
Min Cuts: 46 
S Size | Number of Cuts
     1 |            13
     2 |             6
     3 |             6
     4 |             4
     5 |             4
     6 |             0
     7 |             1
     8 |             2
     9 |             2
    10 |             0
    11 |             0
    12 |             0
    13 |             0
    14 |             2
    15 |             2
    16 |             1
    17 |             0
    18 |             1
    19 |             2

graph20_25_864.txt: 
Min Cuts: 47 
S Size | Number of Cuts
     1 |            22
     2 |             6
     3 |             2
     4 |             2
     5 |             1
     6 |             0
     7 |             0
     8 |             2
     9 |             3
    10 |             0
    11 |             0
    12 |             0
    13 |             0
    14 |             0
    15 |             3
    16 |             1
    17 |             2
    18 |             1
    19 |             2

graph20_25_990.txt: 
Min Cuts: 47 
S Size | Number of Cuts
     1 |            12
     2 |             4
     3 |             6
     4 |             2
     5 |             4
     6 |             1
     7 |             3
     8 |             2
     9 |             2
    10 |             1
    11 |             1
    12 |             0
    13 |             3
    14 |             1
    15 |             1
    16 |             1
    17 |             0
    18 |             0
    19 |             3

graph20_25_59.txt: 
Min Cuts: 48 
S Size | Number of Cuts
     1 |            15
     2 |             7
     3 |             7
     4 |             2
     5 |             1
     6 |             2
     7 |             1
     8 |             0
     9 |             2
    10 |             3
    11 |             0
    12 |             2
    13 |             2
    14 |             2
    15 |             0
    16 |             0
    17 |             1
    18 |             0
    19 |             1

graph20_25_526.txt: 
Min Cuts: 48 
S Size | Number of Cuts
     1 |            15
     2 |             8
     3 |             3
     4 |             2
     5 |             2
     6 |             0
     7 |             0
     8 |             1
     9 |             0
    10 |             3
    11 |             2
    12 |             2
    13 |             3
    14 |             3
    15 |             2
    16 |             1
    17 |             0
    18 |             1
    19 |             0

graph20_25_78.txt: 
Min Cuts: 48 
S Size | Number of Cuts
     1 |            12
     2 |             6
     3 |             5
     4 |             4
     5 |             1
     6 |             1
     7 |             4
     8 |             1
     9 |             2
    10 |             0
    11 |             0
    12 |             0
    13 |             0
    14 |             2
    15 |             3
    16 |             0
    17 |             1
    18 |             3
    19 |             3

graph20_25_851.txt: 
Min Cuts: 48 
S Size | Number of Cuts
     1 |            13
     2 |             8
     3 |             6
     4 |             5
     5 |             1
     6 |             4
     7 |             0
     8 |             2
     9 |             3
    10 |             0
    11 |             2
    12 |             0
    13 |             1
    14 |             0
    15 |             0
    16 |             0
    17 |             0
    18 |             0
    19 |             3

graph20_25_444.txt: 
Min Cuts: 48 
S Size | Number of Cuts
     1 |            13
     2 |             8
     3 |             3
     4 |             2
     5 |             1
     6 |             0
     7 |             2
     8 |             2
     9 |             0
    10 |             1
    11 |             2
    12 |             1
    13 |             4
    14 |             2
    15 |             2
    16 |             2
    17 |             1
    18 |             0
    19 |             2

graph20_25_514.txt: 
Min Cuts: 48 
S Size | Number of Cuts
     1 |            12
     2 |             9
     3 |             3
     4 |             3
     5 |             2
     6 |             4
     7 |             0
     8 |             1
     9 |             0
    10 |             0
    11 |             1
    12 |             0
    13 |             2
    14 |             1
    15 |             1
    16 |             2
    17 |             2
    18 |             2
    19 |             3

graph20_25_109.txt: 
Min Cuts: 48 
S Size | Number of Cuts
     1 |            14
     2 |             6
     3 |             7
     4 |             3
     5 |             0
     6 |             1
     7 |             4
     8 |             1
     9 |             0
    10 |             1
    11 |             1
    12 |             1
    13 |             1
    14 |             1
    15 |             1
    16 |             0
    17 |             2
    18 |             2
    19 |             2

graph20_25_195.txt: 
Min Cuts: 48 
S Size | Number of Cuts
     1 |             9
     2 |             7
     3 |             4
     4 |             2
     5 |             2
     6 |             1
     7 |             2
     8 |             1
     9 |             1
    10 |             1
    11 |             0
    12 |             2
    13 |             5
    14 |             1
    15 |             2
    16 |             2
    17 |             1
    18 |             2
    19 |             3

graph20_25_764.txt: 
Min Cuts: 49 
S Size | Number of Cuts
     1 |            15
     2 |             9
